ai_a,ai_b,pair_id,game_in_pair,opening_plies,a_moves_first,winner,moves_after_opening,a_search_ms,b_search_ms,a_simulations,b_simulations,a_policy_evaluations,b_policy_evaluations,a_policy_inference_us,b_policy_inference_us
MLP_MCTS,AlphaBeta,0,0,0,1,MLP_MCTS,33,5171.771,4801.054,1605340,0,24109,0,3202584.400,0.000
MLP_MCTS,AlphaBeta,0,1,0,0,AlphaBeta,39,5759.620,6000.867,4364541,0,19359,0,3327176.700,0.000
MLP_MCTS,AlphaBeta,1,0,0,1,MLP_MCTS,11,1829.350,1500.364,306172,0,9075,0,1206464.400,0.000
MLP_MCTS,AlphaBeta,1,1,0,0,MLP_MCTS,26,3975.478,3900.765,979118,0,14059,0,2851537.800,0.000
MLP_MCTS,AlphaBeta,2,0,0,1,AlphaBeta,34,5168.699,5102.216,1484932,0,18501,0,3329303.200,0.000
MLP_MCTS,AlphaBeta,2,1,0,0,AlphaBeta,35,5173.539,5400.868,1719522,0,19134,0,3432889.200,0.000
MLP_MCTS,AlphaBeta,3,0,0,1,MLP_MCTS,13,2141.815,1800.502,586788,0,7541,0,1402043.400,0.000
MLP_MCTS,AlphaBeta,3,1,0,0,AlphaBeta,35,5163.855,5400.747,3480371,0,23635,0,3157251.700,0.000
MLP_MCTS,AlphaBeta,4,0,0,1,MLP_MCTS,19,3045.936,2700.380,1753447,0,21445,0,1839889.400,0.000
MLP_MCTS,AlphaBeta,4,1,0,0,MLP_MCTS,40,6066.089,6000.615,7454311,0,36833,0,3167178.600,0.000
MLP_MCTS,AlphaBeta,5,0,0,1,MLP_MCTS,37,5773.094,5400.748,4623532,0,41042,0,3526350.400,0.000
MLP_MCTS,AlphaBeta,5,1,0,0,AlphaBeta,35,5160.135,5400.645,3528815,0,34888,0,3135386.400,0.000
MLP_MCTS,AlphaBeta,6,0,0,1,AlphaBeta,30,4575.761,4500.677,434122,0,36547,0,3158302.200,0.000
MLP_MCTS,AlphaBeta,6,1,0,0,AlphaBeta,39,5789.881,6001.614,1615653,0,34436,0,3523458.200,0.000
MLP_MCTS,AlphaBeta,7,0,0,1,MLP_MCTS,13,2129.374,1800.437,684279,0,6690,0,1361907.500,0.000
MLP_MCTS,AlphaBeta,7,1,0,0,MLP_MCTS,24,3699.509,3601.173,738705,0,16153,0,2644131.000,0.000
MLP_MCTS,AlphaBeta,8,0,0,1,MLP_MCTS,13,2137.308,1800.424,708544,0,6948,0,1367966.100,0.000
