budget,matchup,base_seed,opening_id,leg,opening_plies,first_ai,second_ai,winner,moves,a_moves,b_moves,a_simulations,b_simulations,a_policy_evaluations,b_policy_evaluations,a_policy_inference_ns,b_policy_inference_ns,a_search_time_ns,b_search_time_ns
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,0,0,4,UCT_MCTS,MLP_ROOT_MCTS,MLP_ROOT_MCTS,32,16,16,160000,160000,0,16,0,1939200,5908527000,5486605400
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,0,1,4,MLP_ROOT_MCTS,UCT_MCTS,MLP_ROOT_MCTS,33,16,17,160000,170000,0,17,0,1912200,4768428300,5037677800
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,1,0,6,UCT_MCTS,MLP_ROOT_MCTS,UCT_MCTS,31,16,15,160000,150000,0,15,0,1708500,4399827200,4225303100
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,1,1,6,MLP_ROOT_MCTS,UCT_MCTS,MLP_ROOT_MCTS,21,10,11,100000,110000,0,11,0,1155100,2859608300,3170799200
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,2,0,2,UCT_MCTS,MLP_ROOT_MCTS,MLP_ROOT_MCTS,36,18,18,180000,180000,0,18,0,1932700,5794873800,5535221400
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,2,1,2,MLP_ROOT_MCTS,UCT_MCTS,MLP_ROOT_MCTS,29,14,15,140000,150000,0,15,0,1708200,4330216600,4664287400
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,3,0,6,UCT_MCTS,MLP_ROOT_MCTS,MLP_ROOT_MCTS,18,9,9,90000,90000,0,9,0,1135000,2844167100,2566043000
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,3,1,6,MLP_ROOT_MCTS,UCT_MCTS,UCT_MCTS,30,15,15,150000,150000,0,15,0,1631900,3819236900,4036604900
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,4,0,5,UCT_MCTS,MLP_ROOT_MCTS,MLP_ROOT_MCTS,28,14,14,140000,140000,0,14,0,1543500,3852215900,3617797000
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,4,1,5,MLP_ROOT_MCTS,UCT_MCTS,UCT_MCTS,28,14,14,140000,140000,0,14,0,2540900,6945521000,7344200800
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,5,0,5,UCT_MCTS,MLP_ROOT_MCTS,MLP_ROOT_MCTS,24,12,12,120000,120000,0,12,0,1729300,4704648000,5035021100
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,5,1,5,MLP_ROOT_MCTS,UCT_MCTS,UCT_MCTS,12,6,6,60000,60000,0,6,0,1099200,2285942900,2605914300
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,6,0,2,UCT_MCTS,MLP_ROOT_MCTS,UCT_MCTS,35,18,17,180000,170000,0,17,0,4481500,7763741000,6900816700
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,6,1,2,MLP_ROOT_MCTS,UCT_MCTS,MLP_ROOT_MCTS,13,6,7,60000,70000,0,7,0,1348800,2499519700,3326013100
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,7,0,5,UCT_MCTS,MLP_ROOT_MCTS,UCT_MCTS,29,15,14,150000,140000,0,14,0,2708900,6405637300,6251514300
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,7,1,5,MLP_ROOT_MCTS,UCT_MCTS,MLP_ROOT_MCTS,29,14,15,140000,150000,0,15,0,3489400,6260539600,6536205700
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,8,0,6,UCT_MCTS,MLP_ROOT_MCTS,UCT_MCTS,1,1,0,10000,0,0,0,0,0,35415200,0
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,8,1,6,MLP_ROOT_MCTS,UCT_MCTS,MLP_ROOT_MCTS,1,0,1,0,10000,0,1,0,198600,0,35946500
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,9,0,6,UCT_MCTS,MLP_ROOT_MCTS,UCT_MCTS,15,8,7,80000,70000,0,7,0,1121200,4026284100,3678448100
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,9,1,6,MLP_ROOT_MCTS,UCT_MCTS,MLP_ROOT_MCTS,21,10,11,100000,110000,0,11,0,3132100,5522390400,5928256300
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,10,0,3,UCT_MCTS,MLP_ROOT_MCTS,UCT_MCTS,33,17,16,170000,160000,0,16,0,2940400,9386218400,8915807800
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,10,1,3,MLP_ROOT_MCTS,UCT_MCTS,UCT_MCTS,28,14,14,140000,140000,0,14,0,2514000,7209819400,7745119400
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,11,0,3,UCT_MCTS,MLP_ROOT_MCTS,DRAW,39,20,19,200000,190000,0,19,0,3614900,10391369600,10035918800
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,11,1,3,MLP_ROOT_MCTS,UCT_MCTS,MLP_ROOT_MCTS,27,13,14,130000,140000,0,14,0,2886300,7933608500,8412630800
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,12,0,2,UCT_MCTS,MLP_ROOT_MCTS,UCT_MCTS,29,15,14,150000,140000,0,14,0,2566200,5863347200,5535447500
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,12,1,2,MLP_ROOT_MCTS,UCT_MCTS,MLP_ROOT_MCTS,33,16,17,160000,170000,0,17,0,3107400,7797584300,9043960400
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,13,0,2,UCT_MCTS,MLP_ROOT_MCTS,DRAW,40,20,20,200000,200000,0,20,0,4166200,11628432100,11003507800
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,13,1,2,MLP_ROOT_MCTS,UCT_MCTS,UCT_MCTS,38,19,19,190000,190000,0,19,0,4191100,10053777200,10801884000
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,14,0,2,UCT_MCTS,MLP_ROOT_MCTS,UCT_MCTS,29,15,14,150000,140000,0,14,0,2785900,7561749500,6301231200
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,14,1,2,MLP_ROOT_MCTS,UCT_MCTS,MLP_ROOT_MCTS,19,9,10,90000,100000,0,10,0,1906200,5688712400,6128617400
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,15,0,2,UCT_MCTS,MLP_ROOT_MCTS,UCT_MCTS,35,18,17,180000,170000,0,17,0,3318900,7981145900,7513001600
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,15,1,2,MLP_ROOT_MCTS,UCT_MCTS,MLP_ROOT_MCTS,31,15,16,150000,160000,0,16,0,3154500,7781390900,8171048100
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,16,0,5,UCT_MCTS,MLP_ROOT_MCTS,UCT_MCTS,3,2,1,20000,10000,0,1,0,191900,198209100,129567200
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,16,1,5,MLP_ROOT_MCTS,UCT_MCTS,MLP_ROOT_MCTS,3,1,2,10000,20000,0,2,0,397900,100765700,192963700
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,17,0,4,UCT_MCTS,MLP_ROOT_MCTS,MLP_ROOT_MCTS,28,14,14,140000,140000,0,14,0,2835100,6872301500,6439117100
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,17,1,4,MLP_ROOT_MCTS,UCT_MCTS,UCT_MCTS,30,15,15,150000,150000,0,15,0,2910600,7036475800,7491316000
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,18,0,2,UCT_MCTS,MLP_ROOT_MCTS,UCT_MCTS,35,18,17,180000,170000,0,17,0,3348400,8637210000,8326531000
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,18,1,2,MLP_ROOT_MCTS,UCT_MCTS,MLP_ROOT_MCTS,33,16,17,160000,170000,0,17,0,3436100,8472464900,8897862100
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,19,0,2,UCT_MCTS,MLP_ROOT_MCTS,MLP_ROOT_MCTS,22,11,11,110000,110000,0,11,0,2300000,6188422900,5820500000
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,19,1,2,MLP_ROOT_MCTS,UCT_MCTS,UCT_MCTS,36,18,18,180000,180000,0,18,0,3555200,8185178300,8668755200
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,20,0,5,UCT_MCTS,MLP_ROOT_MCTS,UCT_MCTS,3,2,1,20000,10000,0,1,0,202300,226280100,122196200
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,20,1,5,MLP_ROOT_MCTS,UCT_MCTS,MLP_ROOT_MCTS,3,1,2,10000,20000,0,2,0,382000,122182800,242985900
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,21,0,6,UCT_MCTS,MLP_ROOT_MCTS,UCT_MCTS,3,2,1,20000,10000,0,1,0,197900,201454400,125016400
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,21,1,6,MLP_ROOT_MCTS,UCT_MCTS,MLP_ROOT_MCTS,3,1,2,10000,20000,0,2,0,385200,114898900,210498300
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,22,0,5,UCT_MCTS,MLP_ROOT_MCTS,UCT_MCTS,33,17,16,170000,160000,0,16,0,3149300,6568195500,6223465900
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,22,1,5,MLP_ROOT_MCTS,UCT_MCTS,UCT_MCTS,14,7,7,70000,70000,0,7,0,1282800,2680417900,3217935000
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,23,0,3,UCT_MCTS,MLP_ROOT_MCTS,UCT_MCTS,19,10,9,100000,90000,0,9,0,1781100,5692166400,5364690200
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,23,1,3,MLP_ROOT_MCTS,UCT_MCTS,MLP_ROOT_MCTS,17,8,9,80000,90000,0,9,0,1758000,4869505000,5302025800
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,24,0,3,UCT_MCTS,MLP_ROOT_MCTS,MLP_ROOT_MCTS,32,16,16,160000,160000,0,16,0,3386300,8342379900,7906669800
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,24,1,3,MLP_ROOT_MCTS,UCT_MCTS,MLP_ROOT_MCTS,35,17,18,170000,180000,0,18,0,3729200,8133512500,8667638200
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,25,0,3,UCT_MCTS,MLP_ROOT_MCTS,MLP_ROOT_MCTS,32,16,16,160000,160000,0,16,0,3200800,7155904400,6662021100
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,25,1,3,MLP_ROOT_MCTS,UCT_MCTS,MLP_ROOT_MCTS,33,16,17,160000,170000,0,17,0,3234500,7555728300,7966014200
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,26,0,4,UCT_MCTS,MLP_ROOT_MCTS,MLP_ROOT_MCTS,32,16,16,160000,160000,0,16,0,3455200,6976455800,6527286100
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,26,1,4,MLP_ROOT_MCTS,UCT_MCTS,MLP_ROOT_MCTS,21,10,11,100000,110000,0,11,0,2258800,4842416600,5283944400
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,27,0,6,UCT_MCTS,MLP_ROOT_MCTS,MLP_ROOT_MCTS,24,12,12,120000,120000,0,12,0,2500200,5747110600,5295107800
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,27,1,6,MLP_ROOT_MCTS,UCT_MCTS,MLP_ROOT_MCTS,31,15,16,150000,160000,0,16,0,3181100,7052061500,7569099100
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,28,0,4,UCT_MCTS,MLP_ROOT_MCTS,MLP_ROOT_MCTS,24,12,12,120000,120000,0,12,0,2356300,5872896800,5500138900
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,28,1,4,MLP_ROOT_MCTS,UCT_MCTS,MLP_ROOT_MCTS,11,5,6,50000,60000,0,6,0,1167600,2022383300,2594764700
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,29,0,4,UCT_MCTS,MLP_ROOT_MCTS,UCT_MCTS,3,2,1,20000,10000,0,1,0,200800,282058500,191363600
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,29,1,4,MLP_ROOT_MCTS,UCT_MCTS,MLP_ROOT_MCTS,3,1,2,10000,20000,0,2,0,392300,179439300,273654000
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,30,0,2,UCT_MCTS,MLP_ROOT_MCTS,MLP_ROOT_MCTS,36,18,18,180000,180000,0,18,0,3525900,8742230200,8409415900
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,30,1,2,MLP_ROOT_MCTS,UCT_MCTS,DRAW,40,20,20,200000,200000,0,20,0,3915000,9849255900,10355438000
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,31,0,5,UCT_MCTS,MLP_ROOT_MCTS,UCT_MCTS,27,14,13,140000,130000,0,13,0,2986700,5790638900,5270258500
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,31,1,5,MLP_ROOT_MCTS,UCT_MCTS,MLP_ROOT_MCTS,37,18,19,180000,190000,0,19,0,3788900,6872184700,7549692700
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,32,0,2,UCT_MCTS,MLP_ROOT_MCTS,UCT_MCTS,13,7,6,70000,60000,0,6,0,1145700,2994954900,2637195300
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,32,1,2,MLP_ROOT_MCTS,UCT_MCTS,MLP_ROOT_MCTS,15,7,8,70000,80000,0,8,0,1832000,3774372500,4062074100
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,33,0,6,UCT_MCTS,MLP_ROOT_MCTS,UCT_MCTS,29,15,14,150000,140000,0,14,0,2813200,7194583000,6833011700
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,33,1,6,MLP_ROOT_MCTS,UCT_MCTS,UCT_MCTS,30,15,15,150000,150000,0,15,0,3516200,7925516100,8395160500
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,34,0,6,UCT_MCTS,MLP_ROOT_MCTS,DRAW,36,18,18,180000,180000,0,18,0,6923100,8891171600,8497667700
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,34,1,6,MLP_ROOT_MCTS,UCT_MCTS,UCT_MCTS,18,9,9,90000,90000,0,9,0,2059900,3746388100,4089435000
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,35,0,2,UCT_MCTS,MLP_ROOT_MCTS,UCT_MCTS,33,17,16,170000,160000,0,16,0,1678900,4038925800,3644351400
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,35,1,2,MLP_ROOT_MCTS,UCT_MCTS,MLP_ROOT_MCTS,33,16,17,160000,170000,0,17,0,1761900,3778835300,4092971600
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,36,0,2,UCT_MCTS,MLP_ROOT_MCTS,UCT_MCTS,29,15,14,150000,140000,0,14,0,1475400,3807848900,3543735100
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,36,1,2,MLP_ROOT_MCTS,UCT_MCTS,UCT_MCTS,34,17,17,170000,170000,0,17,0,1815900,3926627100,4216631700
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,37,0,2,UCT_MCTS,MLP_ROOT_MCTS,MLP_ROOT_MCTS,32,16,16,160000,160000,0,16,0,1789800,4614162600,4372949700
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,37,1,2,MLP_ROOT_MCTS,UCT_MCTS,UCT_MCTS,32,16,16,160000,160000,0,16,0,1632300,4325616400,4566922500
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,38,0,2,UCT_MCTS,MLP_ROOT_MCTS,MLP_ROOT_MCTS,36,18,18,180000,180000,0,18,0,1899500,4964660800,4712487200
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,38,1,2,MLP_ROOT_MCTS,UCT_MCTS,MLP_ROOT_MCTS,35,17,18,170000,180000,0,18,0,1872200,4651141400,4956819700
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,39,0,6,UCT_MCTS,MLP_ROOT_MCTS,UCT_MCTS,17,9,8,90000,80000,0,8,0,838400,2215801100,1986373500
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,39,1,6,MLP_ROOT_MCTS,UCT_MCTS,DRAW,36,18,18,180000,180000,0,18,0,1887900,3986741300,4197443700
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,40,0,6,UCT_MCTS,MLP_ROOT_MCTS,MLP_ROOT_MCTS,32,16,16,160000,160000,0,16,0,1663400,3592676200,3438699400
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,40,1,6,MLP_ROOT_MCTS,UCT_MCTS,UCT_MCTS,36,18,18,180000,180000,0,18,0,1838400,3943797700,4128309400
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,41,0,2,UCT_MCTS,MLP_ROOT_MCTS,UCT_MCTS,27,14,13,140000,130000,0,13,0,1347800,4113486800,3854735400
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,41,1,2,MLP_ROOT_MCTS,UCT_MCTS,MLP_ROOT_MCTS,21,10,11,100000,110000,0,11,0,1170600,3585426100,3814189900
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,42,0,3,UCT_MCTS,MLP_ROOT_MCTS,MLP_ROOT_MCTS,32,16,16,160000,160000,0,16,0,1686500,4420062300,4202333100
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,42,1,3,MLP_ROOT_MCTS,UCT_MCTS,UCT_MCTS,34,17,17,170000,170000,0,17,0,1761200,4379212600,4608176900
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,43,0,2,UCT_MCTS,MLP_ROOT_MCTS,MLP_ROOT_MCTS,34,17,17,170000,170000,0,17,0,1800000,4516529700,4277857200
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,43,1,2,MLP_ROOT_MCTS,UCT_MCTS,MLP_ROOT_MCTS,31,15,16,150000,160000,0,16,0,1675900,4125410400,4438708500
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,44,0,2,UCT_MCTS,MLP_ROOT_MCTS,UCT_MCTS,31,16,15,160000,150000,0,15,0,1565000,4720542500,4388185400
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,44,1,2,MLP_ROOT_MCTS,UCT_MCTS,MLP_ROOT_MCTS,37,18,19,180000,190000,0,19,0,1977300,4389132500,4716488500
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,45,0,4,UCT_MCTS,MLP_ROOT_MCTS,UCT_MCTS,29,15,14,150000,140000,0,14,0,1506300,3958285600,3688265700
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,45,1,4,MLP_ROOT_MCTS,UCT_MCTS,UCT_MCTS,32,16,16,160000,160000,0,16,0,1683700,3785938800,4033028700
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,46,0,4,UCT_MCTS,MLP_ROOT_MCTS,UCT_MCTS,29,15,14,150000,140000,0,14,0,1477000,4262607200,3997531200
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,46,1,4,MLP_ROOT_MCTS,UCT_MCTS,DRAW,38,19,19,190000,190000,0,19,0,2171700,4692024900,4996703200
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,47,0,4,UCT_MCTS,MLP_ROOT_MCTS,MLP_ROOT_MCTS,30,15,15,150000,150000,0,15,0,1566600,3996795200,3762791400
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,47,1,4,MLP_ROOT_MCTS,UCT_MCTS,MLP_ROOT_MCTS,31,15,16,150000,160000,0,16,0,1642900,3977757400,4232328900
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,48,0,3,UCT_MCTS,MLP_ROOT_MCTS,MLP_ROOT_MCTS,30,15,15,150000,150000,0,15,0,1569400,4031271900,3784215700
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,48,1,3,MLP_ROOT_MCTS,UCT_MCTS,MLP_ROOT_MCTS,27,13,14,130000,140000,0,14,0,1408300,3575297000,3824965600
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,49,0,2,UCT_MCTS,MLP_ROOT_MCTS,MLP_ROOT_MCTS,28,14,14,140000,140000,0,14,0,1436700,4211949300,3968538200
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,49,1,2,MLP_ROOT_MCTS,UCT_MCTS,UCT_MCTS,38,19,19,190000,190000,0,19,0,2106500,4789977000,5073930400
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,123,0,0,4,UCT_MCTS,MLP_ROOT_MCTS,UCT_MCTS,3,2,1,20000,10000,0,1,0,102800,152525200,81173900
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,123,0,1,4,MLP_ROOT_MCTS,UCT_MCTS,MLP_ROOT_MCTS,3,1,2,10000,20000,0,2,0,206100,75258200,130592500
