budget,matchup,base_seed,games,a_wins,b_wins,draws,a_avg_simulations,b_avg_simulations,a_avg_policy_inference_ns,b_avg_policy_inference_ns,a_avg_search_time_ns,b_avg_search_time_ns
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,42,100,42,52,6,10000,10000,0,161286,3.8253e+08,3.83364e+08
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,123,100,51,44,5,10000,10000,0,122433,2.8078e+08,2.84016e+08
fixed_simulations,UCT_MCTS_vs_MLP_ROOT_MCTS,777,100,43,49,8,10000,10000,0,105620,2.66984e+08,2.67032e+08
fixed_simulations,UCT_MCTS_vs_CNN_ROOT_MCTS,42,100,48,46,6,10000,10000,0,3.76376e+06,2.59973e+08,2.65007e+08
fixed_simulations,UCT_MCTS_vs_CNN_ROOT_MCTS,123,100,45,50,5,10000,10000,0,3.7459e+06,2.56511e+08,2.60952e+08
fixed_simulations,UCT_MCTS_vs_CNN_ROOT_MCTS,777,100,54,37,9,10000,10000,0,3.80657e+06,2.63703e+08,2.69691e+08
fixed_simulations,MLP_ROOT_MCTS_vs_CNN_ROOT_MCTS,42,100,51,41,8,10000,10000,107456,3.76361e+06,2.63584e+08,2.68654e+08
fixed_simulations,MLP_ROOT_MCTS_vs_CNN_ROOT_MCTS,123,100,46,46,8,10000,10000,106608,3.78126e+06,2.61424e+08,2.65795e+08
fixed_simulations,MLP_ROOT_MCTS_vs_CNN_ROOT_MCTS,777,100,43,49,8,10000,10000,105914,3.7998e+06,2.65817e+08,2.69445e+08
fixed_time_100ms,UCT_MCTS_vs_MLP_ROOT_MCTS,42,100,47,51,2,8342.66,8377.92,0,106464,1.03695e+08,1.03693e+08
fixed_time_100ms,UCT_MCTS_vs_MLP_ROOT_MCTS,123,100,43,53,4,8605.93,8556.01,0,106561,1.03683e+08,1.03649e+08
fixed_time_100ms,UCT_MCTS_vs_MLP_ROOT_MCTS,777,100,46,46,8,7983.9,8182.69,0,106741,1.03767e+08,1.0375e+08
fixed_time_100ms,UCT_MCTS_vs_CNN_ROOT_MCTS,42,100,50,45,5,8585.69,7932.39,0,3.76948e+06,1.03685e+08,1.0355e+08
fixed_time_100ms,UCT_MCTS_vs_CNN_ROOT_MCTS,123,100,48,51,1,8674.74,8018.38,0,3.76597e+06,1.03669e+08,1.03521e+08
fixed_time_100ms,UCT_MCTS_vs_CNN_ROOT_MCTS,777,100,46,52,2,8048.94,7698,0,3.75193e+06,1.03828e+08,1.03679e+08
fixed_time_100ms,MLP_ROOT_MCTS_vs_CNN_ROOT_MCTS,42,100,49,46,5,8408.35,7807.62,104534,3.76704e+06,1.03695e+08,1.03574e+08
fixed_time_100ms,MLP_ROOT_MCTS_vs_CNN_ROOT_MCTS,123,100,55,40,5,9201.7,8092.34,104573,3.77052e+06,1.03615e+08,1.03533e+08
fixed_time_100ms,MLP_ROOT_MCTS_vs_CNN_ROOT_MCTS,777,100,49,47,4,8071.28,7598.22,104909,3.78055e+06,1.03755e+08,1.03625e+08
