pair_id,game_in_pair,opening_plies,mlp_moves_first,winner,moves_after_opening,mlp_inference_us,cnn_inference_us
0,0,3,1,MLP,17,1604.900,60331.500
0,1,3,0,CNN,15,1116.600,59700.100
1,0,5,1,CNN,20,1741.100,73102.800
1,1,5,0,MLP,16,1248.300,57950.300
2,0,2,1,MLP,31,2778.900,109661.000
2,1,2,0,CNN,29,2289.700,103914.100
3,0,4,1,CNN,8,619.900,27806.400
3,1,4,0,CNN,23,1625.600,84059.800
4,0,5,1,MLP,23,1993.600,75721.300
4,1,5,0,CNN,13,1014.100,49601.700
5,0,6,1,CNN,28,2117.800,96262.800
5,1,6,0,CNN,31,3136.900,126270.200
6,0,5,1,MLP,13,2095.500,49994.300
