pair_id,game_in_pair,opening_plies,mlp_moves_first,winner,moves_after_opening,mlp_search_ms,cnn_search_ms,mlp_simulations,cnn_simulations,mlp_policy_evals,cnn_policy_evals
0,0,3,1,DRAW,39,15164.334,14451.585,13070605,7768963,50470,1729
0,1,3,0,MLP_MCTS,28,10648.051,10652.745,3945958,15123,48088,1590
1,0,5,1,MLP_MCTS,15,6101.163,5315.955,2003823,837,27312,797
1,1,5,0,MLP_MCTS,20,7617.826,7598.374,2677356,1255,35852,1128
2,0,2,1,MLP_MCTS,13,5334.967,4566.714,2455662,2020,20199,680
2,1,2,0,MLP_MCTS,16,6104.730,6082.841,2355274,947,26437,913
3,0,4,1,MLP_MCTS,17,6869.856,6088.785,2222113,6232,29415,911
3,1,4,0,MLP_MCTS,18,6854.312,6828.617,2815456,1165,29439,1016
4,0,5,1,DRAW,37,14409.749,13687.286,11989881,6837162,52325,1722
4,1,5,0,CNN_MCTS,21,7629.120,8359.424,91427,23049,39470,1242
5,0,6,1,MLP_MCTS,31,12122.748,11396.896,8678063,2707710,45792,1552
5,1,6,0,CNN_MCTS,13,4583.186,5320.075,26990,6320,22771,791
6,0,5,1,DRAW,37,14393.224,13673.382,12430303,7242068,52748,1683
6,1,5,0,MLP_MCTS,22,8354.989,8371.512,2933776,1606,36837,1185
7,0,2,1,DRAW,40,15136.377,15194.620,10105023,11244583,50083,1624
7,1,2,0,CNN_MCTS,19,6863.538,7624.989,268360,2074,24955,912
8,0,5,1,MLP_MCTS,21,8371.903,7668.093,2163094,862,24393,792
8,1,5,0,MLP_MCTS,6,2281.505,2288.716,1084817,271,6531,274
9,0,3,1,MLP_MCTS,17,6848.493,6123.996,2680587,4829,19198,619
9,1,3,0,MLP_MCTS,30,11370.938,11412.386,6048022,1081278,38463,1378
10,0,5,1,MLP_MCTS,25,9882.576,9157.761,1703653,1881,38460,1164
10,1,5,0,MLP_MCTS,30,11353.612,11425.820,7048794,1454534,31703,1293
11,0,4,1,DRAW,38,14374.750,14565.460,6344313,6218376,32317,1185
11,1,4,0,CNN_MCTS,13,4571.753,5371.577,297065,3913,14623,567
12,0,5,1,MLP_MCTS,23,9110.534,8391.332,2767443,1296,36617,1112
12,1,5,0,DRAW,37,13637.392,14467.532,6978611,8191991,49134,1631
13,0,6,1,MLP_MCTS,9,3804.973,3042.871,1211171,411,14001,400
13,1,6,0,MLP_MCTS,2,755.594,758.257,1243234,104,1308,102
14,0,2,1,MLP_MCTS,25,9884.051,9147.505,1096699,1677,44135,1224
14,1,2,0,MLP_MCTS,30,11396.588,11426.564,1702200,20025,46896,1519
15,0,3,1,CNN_MCTS,30,11377.459,11430.768,3157928,1029168,39581,1461
15,1,3,0,MLP_MCTS,10,3806.195,3819.510,1441347,550,14674,515
16,0,5,1,MLP_MCTS,21,8365.613,7619.477,1857700,7668,34724,1034
16,1,5,0,MLP_MCTS,32,12116.677,12165.871,7475040,2817917,41862,1548
17,0,3,1,MLP_MCTS,31,12126.193,11411.371,8131249,3655183,39641,1374
17,1,3,0,MLP_MCTS,32,12119.493,12186.715,5584829,9411,40179,1593
18,0,5,1,CNN_MCTS,26,9868.258,9912.143,2113015,183918,35147,1285
18,1,5,0,MLP_MCTS,4,1518.088,1521.723,1081523,202,4516,201
19,0,4,1,MLP_MCTS,11,4564.416,3813.859,1552933,970,15949,483
19,1,4,0,CNN_MCTS,23,8357.694,9136.541,643975,2766,36348,1235
20,0,5,1,CNN_MCTS,22,8372.783,8371.548,173016,2443,39384,1164
20,1,5,0,MLP_MCTS,4,1516.277,1520.949,1344963,237,4377,218
21,0,4,1,MLP_MCTS,13,5329.189,4559.283,815201,744,24133,668
21,1,4,0,MLP_MCTS,16,6080.142,6084.288,2811821,4817,22581,872
22,0,4,1,DRAW,38,14387.962,14429.371,10110576,10909412,46938,1561
22,1,4,0,CNN_MCTS,29,10626.593,11405.919,2005042,41643,41344,1578
23,0,3,1,MLP_MCTS,27,10630.635,9880.272,3615092,1705,41722,1333
23,1,3,0,MLP_MCTS,32,12143.978,12187.185,5607420,706525,43740,1561
24,0,3,1,MLP_MCTS,15,6075.324,5343.024,3481810,2171,20072,696
24,1,3,0,CNN_MCTS,11,3807.071,4578.926,18289,106311,16010,581
25,0,3,1,MLP_MCTS,37,14405.654,13718.256,7066321,2458179,47114,1663
25,1,3,0,CNN_MCTS,29,10626.465,11431.208,2149594,2691356,37504,1352
26,0,4,1,MLP_MCTS,31,12127.104,11415.245,5309995,1368089,44137,1429
26,1,4,0,CNN_MCTS,19,6855.765,7617.333,128465,45288,30838,1016
27,0,2,1,MLP_MCTS,11,4575.344,3806.979,125787,521,19103,513
27,1,2,0,MLP_MCTS,12,4566.691,4561.971,1005634,657,18964,631
